text,headlines,tfidf_summary
The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7. The administration was forced to withdraw the decision within 24 hours of issuing the circular after it received flak from employees and was slammed on social media.,Daman & Diu revokes mandatory Rakshabandhan in offices order,The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7. The administration was forced to withdraw the decision within 24 hours of issuing the circular after it received flak from employees and was slammed on social media.
"Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"". ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented. Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me...when you know nothing about me.""",Malaika slams user who trolled her for 'divorcing rich man' ,"Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"". ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented. Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me...when you know nothing about me."""
"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna on Thursday made corrections in its Marital Declaration Form by changing 'Virgin' option to 'Unmarried'. Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.",'Virgin' now corrected to 'Unmarried' in IGIMS' form,"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna on Thursday made corrections in its Marital Declaration Form by changing 'Virgin' option to 'Unmarried'. Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form."
"Lashkar-e-Taiba's Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. Congratulations)"" after being caught. He added that he won't surrender, and whatever is in his fate will happen to him. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added.",Aaj aapne pakad liya: LeT man Dujana before being killed,"Lashkar-e-Taiba's Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. He added that he won't surrender, and whatever is in his fate will happen to him. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added."
"Hotels in Maharashtra will train their staff to spot signs of sex trafficking, including frequent requests for bed linen changes and 'Do not disturb' signs left on room doors for days. A mobile phone app called Rescue Me, which will allow staff to alert police of suspicious behaviour, will be developed. The initiative has been backed by the Maharashtra government.",Hotel staff to get training to spot signs of sex trafficking,"Hotels in Maharashtra will train their staff to spot signs of sex trafficking, including frequent requests for bed linen changes and 'Do not disturb' signs left on room doors for days. A mobile phone app called Rescue Me, which will allow staff to alert police of suspicious behaviour, will be developed. The initiative has been backed by the Maharashtra government."
A 32-year-old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. His family alleged that he could have been emotionally and physically tortured. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.,"Man found dead at Delhi police station, kin allege foul play",A 32-year-old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. His family alleged that he could have been emotionally and physically tortured. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.
"The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of ?10 lakh was earlier awarded to the victim. The court observed, ""It's possible despite the vehicle being driven in permissible limit, an accident can occur when a jaywalker suddenly appears on road."" ",Delhi HC reduces aid for 'negligent' accident victim by 45%,"The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of ?10 lakh was earlier awarded to the victim. The court observed, ""It's possible despite the vehicle being driven in permissible limit, an accident can occur when a jaywalker suddenly appears on road."" "
"A 60-year old Dalit woman was allegedly lynched in Agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women. The family members of the woman who left home around 4 am on Wednesday said, ""She pleaded that she had lost her way but they took her as one responsible for chopping women hair.""",60-yr-old lynched over rumours she was cutting people's hair,"A 60-year old Dalit woman was allegedly lynched in Agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women. The family members of the woman who left home around 4 am on Wednesday said, ""She pleaded that she had lost her way but they took her as one responsible for chopping women hair."""
"An inquiry by the Aircraft Accident Investigation Bureau found that the Pawan Hans helicopter was flying at a critically low height, resulting in its crash near Bombay High in 2015. The report further mentioned that the instructor, despite being aware of the low height, didn't take control of the helicopter after the trainee pilot wasn?t able to manage the situation. ",Chopper flying critically low led to 2015 Bombay High crash,"An inquiry by the Aircraft Accident Investigation Bureau found that the Pawan Hans helicopter was flying at a critically low height, resulting in its crash near Bombay High in 2015. The report further mentioned that the instructor, despite being aware of the low height, didn't take control of the helicopter after the trainee pilot wasn?t able to manage the situation. "
"The Congress party has opened a bank called 'State Bank of Tomato' in Uttar Pradesh's Lucknow, in a protest against the rising prices of the vegetable. People can get interests on deposits and also get vegetables on loan in the bank. ""I have deposited 0.5 Kg tomatoes, will get 1 kg after 6 months,"" said a man.",Congress opens 'State Bank of Tomato' in Lucknow,"The Congress party has opened a bank called 'State Bank of Tomato' in Uttar Pradesh's Lucknow, in a protest against the rising prices of the vegetable. People can get interests on deposits and also get vegetables on loan in the bank. ""I have deposited 0.5 Kg tomatoes, will get 1 kg after 6 months,"" said a man."
"India's food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties. It further added that all food must meet the safety and hygiene standards.",Food regulator planning leftover banks to feed hungry people,"India's food regulator Food Safety and Standards Authority of India (FSSAI) is planning to create a network to collect leftover food and provide it to the needy. It is looking to connect with organisations which can collect, store and distribute leftover food from weddings and large parties. It further added that all food must meet the safety and hygiene standards."
"The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release. Harshit is hospitalised since Google denied giving him a job, his mother added.",Call devastated his life: Mom of boy who got 'Google' offer,"The mother of Harshit Sharma, the class 12 Chandigarh boy who got a hoax job offer call from Google, said that the incident ""devastated"" his life. He got a call, after which he shared the information with the school principal, who sent out a press release. Harshit is hospitalised since Google denied giving him a job, his mother added."
"Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more.",19 Gurugram buildings to pay property tax over free parking,"Municipal Corporation of Gurugram on Wednesday said that 19 out of 45 commercial building owners have decided to pay property tax instead of providing free parking to the public. Notably, MCG earlier offered a property tax waiver for building basements if they were used to provide free parking. However, the owners allegedly said that revenues from parking profited them more."
"Scientists, for the first time, successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families. The disease, called hypertrophic cardiomyopathy, causes the heart to stop suddenly and is the result of an error in a single gene. The breakthrough could lead to preventing 10,000 disorders that are passed down the generations.",Human embryos edited to stop deadly disease for the 1st time,"Scientists, for the first time, successfully freed embryos of a piece of faulty DNA that causes a fatal heart disease to run in families. The disease, called hypertrophic cardiomyopathy, causes the heart to stop suddenly and is the result of an error in a single gene. The breakthrough could lead to preventing 10,000 disorders that are passed down the generations."
"A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhi's 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous. The authorities said that they conduct surveys of unsafe buildings every year and undertake required actions.","Nearly 2,300 CPWD buildings in Delhi unsafe: Union Minister","A Union Minister of State for Home Affairs informed the Lok Sabha on Wednesday that Delhi's 2,297 residential buildings under the Central Public Works Department were found to be ""unsafe"". Another 124 buildings under the New Delhi Municipal Council were identified as dangerous. The authorities said that they conduct surveys of unsafe buildings every year and undertake required actions."
The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The SC further said that the issue would be heard as a constitutional question ? whether NOTA would apply to election of council of states. ,Gujarat Rajya Sabha polls to be held with NOTA option: SC,The Supreme Court today refused to stay the exercise of NOTA (none of the above) option in the Gujarat Rajya Sabha elections scheduled to take place on 8 August. The SC further said that the issue would be heard as a constitutional question ? whether NOTA would apply to election of council of states. 
"Tanveer Hussain, a 24-year-old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition. An Essex County jury has charged Hussain with one count of first-degree sexual abuse and two counts of endangering the welfare of a child.",Indian athlete indicted on sex abuse charge in US,"Tanveer Hussain, a 24-year-old Indian athlete from Kashmir, has been indicted in the US on charges of sexually abusing a minor girl, during a visit to the US for a snowshoe competition. An Essex County jury has charged Hussain with one count of first-degree sexual abuse and two counts of endangering the welfare of a child."
"Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport on Wednesday. Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti."" Its X-ray image had raised suspicion among airport staff. ",Maruti spare parts trigger bomb scare at Delhi airport,"Bomb squads and canine teams were rushed to check a package recovered in the cargo hold area of Delhi airport on Wednesday. Officials later declared the area safe, adding, ""the suspect item was nothing but some spare parts of company Maruti."" Its X-ray image had raised suspicion among airport staff. "
"Defending the IGIMS marital declaration form, Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didn't find anything objectionable in it.  Pandey added that he discussed the issue with the management, who informed him that the format used was same as AIIMS' and was being used since 1983.","Virgin means unmarried, nothing offensive in it: Minister","Defending the IGIMS marital declaration form, Bihar Health Minister Mangal Pandey said he checked the meaning of virgin in dictionary, wherein it meant unmarried woman and he didn't find anything objectionable in it.  Pandey added that he discussed the issue with the management, who informed him that the format used was same as AIIMS' and was being used since 1983."
"The members of a Norwegian anti-immigrant group have been trolled for mistaking a photograph of six empty bus seats for a group of women wearing burqas. The post, shared on  the closed Facebook group Fedrelandet viktigst (Fatherland first), garnered comments like ""Get them out of our country"" and ""Could be terrorists."" It was shared on the group as a prank.",Bus seats mistaken for burqas by Norway anti-immigrant group,"The members of a Norwegian anti-immigrant group have been trolled for mistaking a photograph of six empty bus seats for a group of women wearing burqas. The post, shared on  the closed Facebook group Fedrelandet viktigst (Fatherland first), garnered comments like ""Get them out of our country"" and ""Could be terrorists."" It was shared on the group as a prank."
A newborn boy in Maharashtra's Thane was found to be 'pregnant' with own half-formed twin that was feeding off the boy's blood supply. The doctors said that it was a very rare condition called 'fetus in fetu' with less than 200 such cases recorded till date. The doctors successfully operated to remove the 7-cm fetus that weighed 150 gram.,Baby 'pregnant' with malformed twin born in Maharashtra,A newborn boy in Maharashtra's Thane was found to be 'pregnant' with own half-formed twin that was feeding off the boy's blood supply. The doctors said that it was a very rare condition called 'fetus in fetu' with less than 200 such cases recorded till date. The doctors successfully operated to remove the 7-cm fetus that weighed 150 gram.
"The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no-hawker zone. The move is aimed at streamlining traffic movement outside the hospitals so that patients, doctors, and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle. ","Delhi's AIIMS, Safdarjung to be declared no-hawker zone","The North Delhi Municipal Corporation has said that the Ring Road and Aurobindo Marg near AIIMS and Safdarjung Hospitals will be declared a no-hawker zone. The move is aimed at streamlining traffic movement outside the hospitals so that patients, doctors, and ambulances coming to the medical institutes get easier access and other commuters do not face any hassle. "
Over 400 farmers from Greater Noida and adjoining areas protested in Dadri seeking immediate release of 39 farmers arrested on Friday for stopping a passenger train and blocking movement on the Delhi-Howrah railway track for an hour. The arrested farmers had been demanding more compensation for land being acquired by the government for construction of the Eastern Peripheral Expressway. ,Noida farmers demand release of arrested counterparts ,Over 400 farmers from Greater Noida and adjoining areas protested in Dadri seeking immediate release of 39 farmers arrested on Friday for stopping a passenger train and blocking movement on the Delhi-Howrah railway track for an hour. The arrested farmers had been demanding more compensation for land being acquired by the government for construction of the Eastern Peripheral Expressway. 
"Investigators have released pictures showing how close an Air Canada flight came to crashing onto four planes at a US airport last month. Its pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting the landing. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters.",Photo shows how close flight came to crashing onto 4 planes,"Investigators have released pictures showing how close an Air Canada flight came to crashing onto four planes at a US airport last month. Its pilots mistakenly descended towards a taxiway, where four planes were parked, instead of the runway before aborting the landing. Investigators said the incident came within a few feet of becoming one of the worst aviation disasters."
"Two sunbathers, a 56-year-old man and an eight-year-old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The others had run into the sea to save themselves. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt.",Sunbathers killed as plane hits them while landing on beach,"Two sunbathers, a 56-year-old man and an eight-year-old girl, were killed on Wednesday when a light plane struck them while making an emergency landing at a beach in Portugal. The others had run into the sea to save themselves. The two occupants of the plane, which appeared to be in difficulty and had a partly broken left wing, were unhurt."
"The Saudi-led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel-held capital Sanaa, UN officials said. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi-led coalition has been involved in Yemen's civil war backing the Yemeni government against the Houthi rebels.",Saudi-led coalition blocks fuel for UN aid planes to Yemen,"The Saudi-led coalition in Yemen is blocking deliveries of jet fuel to UN planes bringing humanitarian aid to the rebel-held capital Sanaa, UN officials said. Aid efforts were also hampered by delays and refusals of visas by the Yemeni government, officials added. The Saudi-led coalition has been involved in Yemen's civil war backing the Yemeni government against the Houthi rebels."
